"x","y","elevation"
-2095500,1563500,1328.00390625
-2095000,1563500,1393.34289550781
-2094500,1563500,1352.17248535156
-2094000,1563500,1460.40856933594
-2093500,1563500,1440.939453125
-2093000,1563500,1391.86999511719
-2092500,1563500,1445.20532226562
-2092000,1563500,1402.064453125
-2091500,1563500,1409.8525390625
-2091000,1563500,1429.81079101562
-2090500,1563500,1463.90356445312
-2090000,1563500,1539.94482421875
-2089500,1563500,1567.74853515625
-2089000,1563500,1597.63879394531
-2088500,1563500,1644.22180175781
-2088000,1563500,1735.97863769531
-2087500,1563500,1909.1494140625
-2087000,1563500,2036.19934082031
-2086500,1563500,2211.99169921875
-2086000,1563500,2258.19555664062
-2085500,1563500,2372.00024414062
-2085000,1563500,2328.49951171875
-2084500,1563500,2478.25219726562
-2084000,1563500,2480.54614257812
-2083500,1563500,2284.35400390625
-2083000,1563500,2072.49926757812
-2082500,1563500,2025.44750976562
-2082000,1563500,2003.62658691406
-2081500,1563500,1973.00402832031
-2081000,1563500,1968.59289550781
-2080500,1563500,1808.50402832031
-2080000,1563500,1774.46240234375
-2079500,1563500,1834.63854980469
-2079000,1563500,1807.11730957031
-2078500,1563500,1798.76416015625
-2078000,1563500,1814.07580566406
-2077500,1563500,1660.515625
-2077000,1563500,1657.07897949219
-2076500,1563500,1679.30712890625
-2076000,1563500,1644.64697265625
-2075500,1563500,1685.56555175781
-2075000,1563500,1659.71166992188
-2074500,1563500,1670.47680664062
-2074000,1563500,1772.169921875
-2073500,1563500,1916.96630859375
-2073000,1563500,1989.9208984375
-2072500,1563500,1882.65710449219
-2072000,1563500,1982.1669921875
-2071500,1563500,2114.31323242188
-2071000,1563500,1929.21276855469
-2070500,1563500,1764.58410644531
-2070000,1563500,1662.40417480469
-2069500,1563500,1766.50756835938
-2069000,1563500,1654.71862792969
-2068500,1563500,1616.06811523438
-2068000,1563500,1404.42138671875
-2067500,1563500,1480.95690917969
-2067000,1563500,1593.28979492188
-2066500,1563500,1809.84802246094
-2066000,1563500,1811.70141601562
-2065500,1563500,1814.31140136719
-2065000,1563500,1645.31018066406
-2064500,1563500,1409.24865722656
-2064000,1563500,1525.80102539062
-2063500,1563500,1446.19677734375
-2063000,1563500,1323.93334960938
-2062500,1563500,1260.0439453125
-2062000,1563500,1305.84765625
-2061500,1563500,1190.70678710938
-2061000,1563500,1200.212890625
-2060500,1563500,1317.58203125
-2060000,1563500,1421.8623046875
-2059500,1563500,1337.26025390625
-2059000,1563500,1214.41333007812
-2058500,1563500,1134.3173828125
-2058000,1563500,1024.44201660156
-2057500,1563500,1013.97607421875
-2057000,1563500,920.144226074219
-2056500,1563500,859.943664550781
-2056000,1563500,1064.42041015625
-2055500,1563500,1246.20849609375
-2055000,1563500,1379.41906738281
-2054500,1563500,1399.9736328125
-2054000,1563500,1364.08947753906
-2053500,1563500,1237.25842285156
-2053000,1563500,1038.24206542969
-2052500,1563500,1192.79724121094
-2052000,1563500,1150.09936523438
-2051500,1563500,952.47119140625
-2051000,1563500,964.239929199219
-2050500,1563500,1087.06225585938
-2050000,1563500,1096.22338867188
-2049500,1563500,846.830444335938
-2049000,1563500,886.22314453125
-2048500,1563500,874.09033203125
-2048000,1563500,695.880004882812
-2047500,1563500,608.395263671875
-2047000,1563500,733.253845214844
-2046500,1563500,902.280090332031
-2046000,1563500,1035.8837890625
-2045500,1563500,942.111206054688
-2045000,1563500,1031.0341796875
-2044500,1563500,1070.79382324219
-2044000,1563500,1209.98266601562
