"","x","y"
"132",-2039500,1562500
"133",-2039000,1562500
"134",-2038500,1562500
"135",-2038000,1562500
"136",-2037500,1562500
"137",-2037000,1562500
"138",-2036500,1562500
"139",-2036000,1562500
"140",-2035500,1562500
"141",-2035000,1562500
"142",-2034500,1562500
"143",-2034000,1562500
"144",-2033500,1562500
"145",-2033000,1562500
"146",-2032500,1562500
"147",-2032000,1562500
"148",-2031500,1562500
"149",-2031000,1562500
"150",-2030500,1562500
"151",-2030000,1562500
"152",-2105000,1563000
"153",-2104500,1563000
"154",-2104000,1563000
"155",-2103500,1563000
"156",-2103000,1563000
"157",-2102500,1563000
"158",-2102000,1563000
"159",-2101500,1563000
"160",-2101000,1563000
"161",-2100500,1563000
"162",-2100000,1563000
"163",-2099500,1563000
"164",-2099000,1563000
"165",-2098500,1563000
"166",-2098000,1563000
"167",-2097500,1563000
"168",-2097000,1563000
"169",-2096500,1563000
"170",-2096000,1563000
"171",-2095500,1563000
"172",-2095000,1563000
"173",-2094500,1563000
"174",-2094000,1563000
"175",-2093500,1563000
"176",-2093000,1563000
"177",-2092500,1563000
"178",-2092000,1563000
"179",-2091500,1563000
"180",-2091000,1563000
"181",-2090500,1563000
"182",-2090000,1563000
"183",-2089500,1563000
"184",-2089000,1563000
"185",-2088500,1563000
"186",-2088000,1563000
"187",-2087500,1563000
"188",-2087000,1563000
"189",-2086500,1563000
"190",-2086000,1563000
"191",-2085500,1563000
"192",-2085000,1563000
"193",-2084500,1563000
"194",-2084000,1563000
"195",-2083500,1563000
"196",-2083000,1563000
"197",-2082500,1563000
"198",-2082000,1563000
"199",-2081500,1563000
"200",-2081000,1563000
"201",-2080500,1563000
"202",-2080000,1563000
"203",-2079500,1563000
"204",-2079000,1563000
"205",-2078500,1563000
"206",-2078000,1563000
"207",-2077500,1563000
"208",-2077000,1563000
"209",-2076500,1563000
"210",-2076000,1563000
"211",-2075500,1563000
"212",-2075000,1563000
"213",-2074500,1563000
"214",-2074000,1563000
"215",-2073500,1563000
"216",-2073000,1563000
"217",-2072500,1563000
"218",-2072000,1563000
"219",-2071500,1563000
"220",-2071000,1563000
"221",-2070500,1563000
"222",-2070000,1563000
"223",-2069500,1563000
"224",-2069000,1563000
"225",-2068500,1563000
"226",-2068000,1563000
"227",-2067500,1563000
"228",-2067000,1563000
"229",-2066500,1563000
"230",-2066000,1563000
"231",-2065500,1563000
"232",-2065000,1563000
"233",-2064500,1563000
"234",-2064000,1563000
"235",-2063500,1563000
"236",-2063000,1563000
"237",-2062500,1563000
"238",-2062000,1563000
"239",-2061500,1563000
"240",-2061000,1563000
"241",-2060500,1563000
"242",-2060000,1563000
"243",-2059500,1563000
"244",-2059000,1563000
"245",-2058500,1563000
"246",-2058000,1563000
"247",-2057500,1563000
"248",-2057000,1563000
"249",-2056500,1563000
"250",-2056000,1563000
"251",-2055500,1563000
"252",-2055000,1563000
"253",-2054500,1563000
"254",-2054000,1563000
"255",-2053500,1563000
